Cluster	Protein	S320_1G_1_sorted	S320_1G_3_sorted	S320_1G_4_sorted	S320_1G_5_sorted	S320T_4G_2_sorted	S320T_4G_3_sorted	S320T_4G_5_sorted	SC_1G_2_sorted	SC_1G_3_sorted	SC_1G_5_sorted	SC_4G_1_sorted	SC_4G_2_sorted	SC_4G_3_sorted
Cluster-32473.1	KAF2361432.1	0	0	10	3	2	0	0	4	16	4	6	6	8
Cluster-32483.0	XP_018012089.1	468	573	496	587	537	667	444	494	588	528	575	744	585
Cluster-32484.1	KAF2350639.1	203	371	271	395	261	141	248	301	281	299	300	133	358
Cluster-32493.0	DAA34071.1	1	0	1	3	0	0	0	4	4	0	2	0	0
Cluster-32493.0	KYN40673.1	1	0	1	3	0	0	0	4	4	0	2	0	0
Cluster-32499.0	KAF2357209.1	49	106	37	184	43	20	77	45	82	57	247	95	81
Cluster-32507.1	KAF2355710.1	2401	3967	19178	1524	1157	156	1862	748	885	190	486	716	1187
Cluster-32515.2	ACT33045.1	485	2057	476	1269	2358	1244	3732	642	537	511	1841	1523	1779
Cluster-32515.3	ACT33045.1	892	2846	826	1215	2527	1541	4363	901	869	1115	2161	1376	1720
Cluster-32515.4	ACT33045.1	702	1901	457	1426	1962	1287	2711	901	881	1012	2099	1663	1421
Cluster-32517.1	XP_018026674.1	47	22	49	12	48	9	35	11	213	29	36	48	46
Cluster-32517.2	XP_018026674.1	37	45	98	6	37	13	40	28	197	27	63	81	97
Cluster-32517.3	XP_018026674.1	25	42	121	8	31	21	5	34	122	17	85	34	97
Cluster-32517.4	XP_018026674.1	17	9	62	10	12	18	7	14	139	9	42	52	64
Cluster-32517.6	XP_018026674.1	29	88	283	20	59	33	8	76	47	33	182	63	154
Cluster-32517.11	XP_018026674.1	18	23	90	17	14	40	13	41	465	12	84	101	170
Cluster-32521.1	XP_018025172.1	265	468	175	308	462	514	396	465	374	393	312	296	466
Cluster-32521.2	XP_018025172.1	140	235	118	220	327	253	323	321	288	282	175	133	310
Cluster-32521.3	XP_018025172.1	584	1567	399	1666	868	1798	384	1210	1438	924	959	703	1232
Cluster-32524.1	KAF2368719.1	16	21	78	0	4	2	3	4	41	29	25	3	22
Cluster-32524.2	KAF2368719.1	40	27	107	0	8	4	8	9	60	37	26	12	61
Cluster-32526.1	XP_037804403.1	20	26	17	36	29	3	56	42	25	18	29	18	27
Cluster-32526.2	XP_050698651.1	17	21	21	20	20	13	63	29	25	15	24	7	28
Cluster-32528.2	XP_018026113.1	770	1153	774	1261	1043	768	1071	1010	1234	934	601	613	644
Cluster-32528.3	XP_018026113.1	906	1257	1153	1297	1244	1080	1009	1099	1137	1033	1046	804	899
Cluster-32528.5	XP_018026113.1	304	281	493	351	278	149	399	432	686	658	258	276	387
Cluster-32531.0	XP_018025282.1	6	28	16	81	108	21	12	18	40	53	13	8	19
Cluster-32531.1	XP_018025282.1	22	8	1	16	18	6	20	20	38	48	14	9	12
Cluster-32531.2	XP_018025282.1	47	23	34	29	43	24	88	27	35	81	68	94	55
Cluster-32531.4	KAG7170331.1	5	2	2	0	4	1	1	2	10	16	1	2	2
Cluster-32531.5	XP_018025282.1	8	9	7	18	18	4	11	16	20	40	15	7	22
Cluster-32539.0	KAF2365497.1	203	220	251	206	377	289	213	256	334	324	232	271	200
Cluster-32542.1	KAF2349441.1	39	56	77	71	61	87	62	56	79	70	35	60	80
Cluster-32549.0	CAB4066726.1	145	229	178	285	232	192	281	183	164	145	169	121	152
Cluster-32550.0	KAJ8933100.1	13	3	0	5	2	6	0	5	3	0	0	0	4
Cluster-32569.0	XP_047737864.1	3	12	32	19	23	23	22	16	36	35	8	9	5
Cluster-32579.0	PNF14211.1	1	0	0	2	1	0	0	3	2	2	4	0	4
Cluster-32583.0	KAF2352487.1	7	28	183	31	24	8	1	26	413	0	267	2118	82
Cluster-32595.0	XP_018011884.1	149	535	109	647	570	397	457	330	127	126	467	462	328
Cluster-32595.1	KAB7506605.1	2	7	2	3	12	1	2	4	8	15	12	2	12
Cluster-32595.5	KAJ9596439.1	1	2	1	5	0	1	2	1	1	1	1	1	5
Cluster-32595.6	RXG72470.1	1	11	6	13	4	0	3	5	4	7	3	4	12
Cluster-32596.0	XP_018007908.1	1	1	0	9	3	8	4	4	3	1	6	1	6
Cluster-32596.1	XP_018007908.1	2	18	7	19	9	17	11	9	3	0	13	8	14
Cluster-32601.0	XP_047740791.1	79	110	61	101	66	27	29	169	130	74	151	489	254
Cluster-32601.2	XP_047740791.1	106	84	142	79	79	24	45	270	215	132	161	188	197
Cluster-32603.4	KAF0312811.1	169	246	138	382	229	326	262	272	354	402	207	246	197
Cluster-32603.4	KAF2352133.1	169	246	138	382	229	326	262	272	354	402	207	246	197
Cluster-32603.5	KAF0312811.1	81	155	89	264	131	116	130	91	168	187	106	154	135
Cluster-32603.8	KAF2352133.1	112	202	57	234	125	177	141	129	285	207	162	216	143
Cluster-32605.0	CAD7268580.1	1	8	2	15	7	3	5	3	11	7	12	3	14
Cluster-32605.2	XP_018022342.1	315	649	220	764	521	891	743	383	2263	2561	1325	474	832
Cluster-32615.0	XP_047028765.1	83	80	31	98	66	96	58	43	98	91	62	47	66
Cluster-32616.0	KAF2355090.1	2	0	0	0	1	4	0	0	7	3	0	0	0
Cluster-32624.0	KAG8234349.1	6	9	15	5	0	0	0	15	3	3	27	38	6
Cluster-32624.0	CAB3230081.1	6	9	15	5	0	0	0	15	3	3	27	38	6
Cluster-32646.7	KAF2366021.1	181	203	80	185	130	235	115	396	257	226	169	321	167
Cluster-32647.0	XP_003746303.1	16	24	0	23	10	17	0	1	15	0	3	0	4
Cluster-32648.0	XP_018022306.1	132	61	1892	75	158	356	57	129	338	197	163	162	368
Cluster-32648.1	XP_018022306.1	371	232	1642	168	283	359	137	196	512	342	228	482	396
Cluster-32648.2	XP_018022306.1	92	74	494	78	71	51	26	59	148	98	61	180	90
Cluster-32665.0	KAF2364812.1	9	23	17	30	61	30	37	15	13	8	42	34	13
Cluster-32665.1	XP_018014956.1	5	1	2	2	15	5	11	1	2	0	3	0	5
Cluster-32665.2	KAF2364812.1	25	21	17	19	28	48	51	21	17	19	39	18	32
Cluster-32665.5	KAF2364812.1	32	152	24	132	373	125	496	108	154	88	190	234	392
Cluster-32665.7	KAF2364812.1	8	25	2	24	85	30	144	11	13	18	35	22	91
Cluster-32665.8	KAF2364812.1	12	7	3	3	23	2	15	18	5	2	23	21	12
Cluster-32666.1	CAD7238802.1	0	2	0	6	0	0	1	0	1	2	1	0	0
Cluster-32667.0	KAG7153869.1	11	9	8	4	21	0	8	37	30	22	14	11	54
Cluster-32672.0	CAH1114304.1	15	56	1	94	14	6	12	1	5	3	9	8	12
Cluster-32674.0	KAF2358091.1	260	413	485	199	522	434	676	270	598	547	307	356	658
Cluster-32674.1	KAF2358091.1	212	333	372	155	402	350	530	228	458	322	208	209	442
Cluster-32674.2	KAF2358091.1	223	366	357	142	459	408	594	300	605	471	250	332	493
Cluster-32678.0	KAF2361724.1	58	417	223	130	131	75	193	197	329	54	205	306	175
Cluster-32678.4	KAF2361724.1	35	85	93	53	34	17	73	45	113	22	91	125	80
Cluster-32678.7	KAF2361724.1	64	221	203	77	94	52	118	122	239	40	128	250	136
Cluster-32678.8	KAF2361724.1	116	532	277	81	219	180	269	170	551	89	134	243	161
Cluster-32678.11	CAD1475714.1	12	0	0	0	0	0	0	0	7	8	0	14	1
Cluster-32680.1	KAI2807712.1	0	13	1	22	9	2	4	0	0	0	0	3	3
Cluster-32695.0	KAF2357320.1	2	0	0	1	1	0	0	0	3	3	1	2	0
Cluster-32713.2	XP_018013370.1	27925	42924	21363	47387	43513	45901	41103	26323	23046	43870	21935	24186	28453
Cluster-32713.4	XP_018013370.1	28926	42700	23918	46797	37900	37837	48753	31074	31386	50477	31139	23891	25066
Cluster-32713.5	XP_018013370.1	25450	38136	30205	40340	32645	33433	47324	32737	31441	48913	35718	24915	22699
Cluster-32713.6	XP_018013370.1	26246	26375	30574	32029	46329	34617	27821	28461	32113	40771	26214	15625	22788
Cluster-32713.7	XP_018013370.1	25356	24538	29078	31842	44424	33018	25857	25963	30753	39584	24074	14979	20657
Cluster-32713.8	XP_018013370.1	4815	6101	6442	5332	9068	5971	9376	8545	6292	6043	6883	3932	8195
Cluster-32713.9	XP_018013370.1	9892	13279	11069	12029	14325	9159	14565	17177	13515	16764	14706	6496	10534
Cluster-32713.10	XP_018013370.1	18940	17534	35289	22038	34088	26391	16886	28066	32161	41654	31966	14863	16327
Cluster-32722.0	XP_018026726.1	778	1089	1440	712	991	878	1190	740	1725	1164	846	992	1304
Cluster-32725.0	KAF2367625.1	710	1088	562	1353	875	1033	1020	1100	703	736	1018	486	895
Cluster-32725.1	KAF2367625.1	512	647	378	819	649	726	679	699	534	505	696	518	570
Cluster-32728.0	KAA0191031.1	3	10	15	0	4	0	2	10	11	2	8	4	8
Cluster-32731.0	XP_018007316.1	704	1006	573	1333	1017	1289	1034	777	791	808	1261	1392	1087
Cluster-32754.0	XP_053644931.1	4	0	0	2	1	0	0	7	0	5	1	0	0
Cluster-32765.0	XP_047736937.1	88	230	165	461	464	95	1081	152	95	82	472	459	420
Cluster-32783.0	XP_018006668.1	5	2	7	0	1	4	4	13	6	6	6	13	9
Cluster-32786.0	XP_035224136.1	25	18	33	17	28	30	20	25	31	26	27	19	9
Cluster-32786.0	XP_038212162.1	25	18	33	17	28	30	20	25	31	26	27	19	9
Cluster-32787.1	XP_018014431.1	1	6	2	3	3	0	2	3	1	7	2	3	14
Cluster-32790.0	KAF2360690.1	197	297	291	328	546	688	792	335	282	260	356	277	833
Cluster-32792.0	XP_018025541.1	15	22	56	3	7	2	7	19	12	11	2	4	32
Cluster-32794.1	KAF2357865.1	203	138	233	113	135	83	125	318	321	252	189	199	296
Cluster-32798.1	XP_037791468.1	118	124	38	75	166	129	323	163	392	285	136	281	163
Cluster-32798.2	XP_037791468.1	75	70	17	82	66	58	153	86	293	182	59	97	95
Cluster-32803.0	XP_047469589.1	3	0	2	0	0	0	1	0	2	0	2	0	0
Cluster-32806.1	XP_045594448.1	527	1084	375	1199	741	530	661	1601	471	137	639	810	899
Cluster-32806.2	XP_045594448.1	84	234	67	221	121	115	97	274	53	17	207	49	198
Cluster-32806.3	XP_045594448.1	113	215	43	259	93	72	93	224	59	7	192	44	345
Cluster-32806.4	XP_045594448.1	241	356	190	552	251	267	289	603	148	104	236	339	366
Cluster-32806.5	XP_045594448.1	150	377	301	595	207	280	219	692	142	55	268	143	374
Cluster-32806.6	XP_045594448.1	146	556	182	735	170	205	76	433	148	13	261	101	435
Cluster-32808.0	KAF2358147.1	22	43	20	30	22	51	11	56	29	34	49	22	41
Cluster-32817.0	XP_018011288.1	11	1	0	0	0	2	7	4	1	6	0	1	1
Cluster-32819.0	KAF2358842.1	0	0	4	0	1	0	0	2	2	5	4	0	2
Cluster-32819.1	KAF2358842.1	3	0	0	1	0	0	0	2	2	3	7	0	6
Cluster-32830.0	KAF2365301.1	1	9	34	0	0	0	0	0	6	0	0	0	0
Cluster-32835.0	KAF2349640.1	4	2	0	0	0	1	2	0	0	3	2	0	3
Cluster-32840.0	EFX85155.1	35	95	72	38	75	43	76	67	63	31	110	38	116
Cluster-32844.5	KAF2368296.1	465	1050	1194	435	520	358	552	997	756	319	470	406	823
Cluster-32844.7	KAF2368296.1	414	889	1917	406	596	637	770	831	737	307	573	676	977
Cluster-32844.8	KAF2368296.1	795	1389	1726	573	609	484	662	1416	1286	641	637	625	1192
Cluster-32844.9	KAF2368296.1	655	1286	3057	500	830	715	880	1471	1282	480	698	892	1398
Cluster-32849.0	XP_046674607.1	1	3	0	2	5	0	1	0	0	1	1	0	0
Cluster-32858.0	XP_018008728.1	41	167	242	8	10	20	5	78	258	4	54	30	148
Cluster-32858.1	XP_018008728.1	107	38	81	25	9	29	3	2	297	16	180	19	196
Cluster-32861.0	KAF2369132.1	41	29	36	26	46	18	60	25	22	14	46	13	54
Cluster-32873.0	KAH9369978.1	3	0	1	2	0	0	0	2	4	1	2	0	2
Cluster-32881.0	XP_018022446.1	597	856	648	963	876	862	723	842	970	629	1035	1157	879
Cluster-32884.3	KAF2362625.1	276	248	1617	17	56	35	99	55	272	214	92	74	88
Cluster-32884.4	KAF2362625.1	44	56	470	7	16	5	53	21	131	125	68	29	146
Cluster-32884.6	KAF2362625.1	38	36	410	6	13	1	15	20	145	54	26	6	33
Cluster-32884.7	KAF2362625.1	70	58	584	13	33	1	24	33	101	73	33	16	60
Cluster-32886.0	KAG7161045.1	1	0	0	0	0	0	0	1	11	0	3	2	6
Cluster-32897.0	XP_018026409.1	19	46	59	60	17	23	45	30	44	14	58	58	77
Cluster-32897.4	XP_018026409.1	102	119	116	91	109	111	137	93	240	141	166	173	88
Cluster-32903.0	XP_018019356.1	752	935	780	1237	920	952	1294	1087	913	904	1385	561	1289
Cluster-32915.6	KAA0186753.1	16	44	16	19	21	7	38	36	77	43	62	62	113
Cluster-32938.0	XP_049848592.1	11	18	0	35	2	1	3	1	0	2	4	4	0
Cluster-32947.0	KAF2368393.1	157	39	12	38	26	14	13	151	73	49	203	39	63
Cluster-32951.0	XP_050731374.1	62	194	57	169	244	234	370	75	89	84	197	99	284
Cluster-32951.1	XP_050731374.1	78	267	75	267	268	301	416	95	133	131	278	124	350
Cluster-32951.2	XP_050731374.1	101	344	85	305	332	342	300	146	134	121	370	135	504
Cluster-32951.3	AKE49855.1	118	208	121	343	705	436	958	110	215	145	394	163	555
Cluster-32951.5	XP_050731374.1	909	1950	709	2049	1431	1496	1300	1343	786	585	2949	794	2932
Cluster-32951.7	XP_018026503.1	44	69	68	100	119	104	109	76	90	75	87	86	100
Cluster-32955.1	XP_018027895.1	428	397	690	262	261	114	309	489	504	339	318	294	481
Cluster-32956.0	KAI8434245.1	1	4	0	0	1	0	0	1	1	0	2	0	0
Cluster-32958.0	ROT66315.1	3	0	0	0	0	0	0	4	2	0	4	3	6
Cluster-32965.10	XP_018019698.1	18	29	59	16	9	2	3	21	49	10	56	37	31
Cluster-32966.0	CAH1966463.1	1	0	0	0	0	0	4	3	0	0	2	0	1
Cluster-32990.0	XP_018025081.1	2	3	8	6	2	6	2	3	2	1	8	1	10
Cluster-32991.0	KAF2357918.1	1	1	16	0	0	0	0	0	0	1	0	1	0
Cluster-32992.0	DAA34773.1	1	0	0	1	0	0	0	4	0	2	0	2	0
Cluster-32992.1	KAF2364876.1	5	4	3	3	0	4	2	8	2	3	6	0	3
Cluster-33000.2	XP_018014569.1	174	272	160	205	308	355	233	239	252	237	282	133	322
Cluster-33000.4	XP_018014569.1	233	308	318	341	418	450	399	452	576	388	234	366	308
Cluster-33000.8	XP_018014569.1	138	199	161	256	208	247	195	251	482	310	154	212	145
Cluster-33000.9	XP_050296152.1	39	17	24	18	26	18	8	15	31	27	59	79	27
Cluster-33000.14	KAF2356512.1	1821	2069	799	1739	1901	1024	2743	2570	3337	2255	2377	1611	3546
Cluster-33000.17	KAF2350954.1	843	1150	418	908	925	330	1414	1413	1760	1271	1506	725	2512
Cluster-33000.18	KAF2356511.1	114	212	45	116	79	24	140	189	207	172	298	92	646
Cluster-33000.19	XP_018014569.1	1004	1268	741	1098	2018	2561	1721	1316	1642	1142	1098	1073	1336
Cluster-33000.19	XP_053642708.1	1004	1268	741	1098	2018	2561	1721	1316	1642	1142	1098	1073	1336
Cluster-33000.21	XP_018014569.1	64	95	67	58	52	164	35	72	86	82	65	43	94
Cluster-33000.24	XP_053642708.1	54	45	40	44	50	77	60	63	70	60	39	51	66
Cluster-33000.32	XP_018013673.1	81	50	50	44	75	26	28	69	84	74	99	41	129
Cluster-33001.0	KAF2368245.1	52	76	57	108	86	95	64	81	115	54	113	88	103
Cluster-33002.1	KAF2365883.1	54	40	148	32	119	163	170	74	150	178	96	37	69
Cluster-33002.2	KAF2365883.1	58	55	247	38	118	85	119	134	196	145	109	98	111
Cluster-33006.0	CAD7269974.1	3	18	1	21	2	2	6	0	3	0	1	9	0
Cluster-33008.0	XP_018011320.1	240	307	961	242	209	113	107	241	609	307	336	210	348
Cluster-33013.1	XP_018013259.1	161	380	210	257	525	402	823	154	192	54	178	114	346
Cluster-33013.2	XP_018013259.1	32	101	41	73	90	67	137	59	25	16	38	28	107
Cluster-33013.3	XP_018013259.1	6	31	18	37	15	5	19	23	4	2	15	13	22
Cluster-33018.0	XP_018006341.1	6	8	8	2	2	2	3	7	9	4	16	14	10
Cluster-33025.0	XP_042858115.1	2	4	56	1	3	0	3	1	8	0	9	79	21
Cluster-33026.1	XP_049793581.1	9	16	13	25	16	17	20	11	10	7	30	24	40
Cluster-33043.0	XP_053657290.1	423	499	808	441	276	364	70	1329	1456	36	2134	3960	2113
Cluster-33043.1	XP_018025933.1	919	956	1249	938	623	600	159	3558	2426	101	3830	6319	4943
Cluster-33043.1	KAB7502323.1	919	956	1249	938	623	600	159	3558	2426	101	3830	6319	4943
Cluster-33044.0	ATA58415.1	1782	1337	260	1566	709	723	218	1786	410	494	1533	1120	818
Cluster-33044.1	ATA58415.1	3737	2713	801	2762	1572	1855	562	4394	1068	1764	3100	2492	1647
Cluster-33044.2	ATA58415.1	3532	2602	816	2706	1424	1420	574	4404	967	1758	3031	2367	1810
Cluster-33044.4	ATA58415.1	2431	1769	422	1848	947	935	338	2569	568	922	1961	1445	1144
Cluster-33046.0	XP_017461299.1	1	4	6	5	7	1	25	5	5	3	0	5	0
Cluster-33048.1	XP_050708554.1	148	210	127	105	289	203	211	232	295	215	263	217	605
Cluster-33048.3	XP_050708554.1	271	321	221	250	521	453	319	474	700	628	291	416	782
Cluster-33048.4	XP_050708554.1	259	188	303	213	457	456	441	329	415	394	235	264	812
Cluster-33048.5	XP_050708554.1	309	289	318	275	553	495	543	419	504	515	273	365	854
Cluster-33056.0	XP_050666377.1	1	0	0	0	0	0	0	0	0	0	6	1	2
Cluster-33069.0	NP_001155784.1	26	18	24	21	34	26	8	17	27	10	15	20	6
Cluster-33078.0	XP_018024791.1	71	49	61	37	24	26	18	74	67	55	84	66	117
Cluster-33093.0	XP_018018933.1	3	1	8	1	4	1	4	5	4	4	2	6	10
Cluster-33097.0	PNF36462.1	2	1	2	0	0	0	0	3	1	0	1	0	3
Cluster-33097.1	XP_027216999.1	4	4	7	3	2	0	0	14	8	13	8	0	7
Cluster-33104.0	KAF2353627.1	2	8	2	2	0	1	0	0	5	0	9	3	10
Cluster-33109.0	XP_027233407.1	116	168	79	159	188	200	173	130	179	191	131	220	163
Cluster-33110.0	KAF2364433.1	32	111	55	104	66	41	34	109	232	273	54	20	164
Cluster-33110.1	AFP67546.1	1	21	34	31	13	6	11	38	18	9	23	2	65
Cluster-33110.2	KAF2364432.1	733	2050	1700	2094	1004	594	1015	1658	1535	1620	781	542	2474
Cluster-33110.3	KAF2364432.1	708	1643	1191	1350	1175	577	615	1316	1227	1016	682	322	1786
Cluster-33110.5	AFP67546.1	22	47	95	62	28	8	16	50	39	45	17	7	86
Cluster-33110.6	KAF2364433.1	79	196	18	107	114	70	55	155	447	491	83	18	245
Cluster-33112.0	XP_023719315.1	1	0	0	0	0	2	1	0	0	2	1	3	0
Cluster-33113.0	TMW54385.1	25	247	22	477	49	31	121	20	8	35	16	18	19
Cluster-33114.4	XP_018017997.1	322	152	92	121	301	250	374	386	408	558	184	171	569
Cluster-33114.4	XP_018017998.1	322	152	92	121	301	250	374	386	408	558	184	171	569
Cluster-33125.0	XP_018012133.1	11	31	15	42	21	39	21	25	22	21	26	11	26
Cluster-33128.4	KAF2368291.1	109	174	1425	6	24	2	47	15	417	19	139	85	223
Cluster-33129.0	XP_011689991.1	3	0	0	1	1	0	0	0	2	5	5	12	0
Cluster-33137.0	XP_018020942.2	1	2	0	2	0	0	0	6	1	1	1	1	7
Cluster-33143.0	XP_037774710.1	253	398	274	597	423	466	426	294	401	420	428	480	439
Cluster-33145.0	PNF39460.1	1	2	2	0	0	0	0	4	1	3	4	0	5
Cluster-33149.2	KAF2363716.1	0	1	0	4	2	0	1	9	1	3	5	0	0
Cluster-33156.0	KAA0203113.1	2	9	1	2	0	3	0	0	0	0	9	1	1
Cluster-33157.1	KAH9529734.1	1495	1591	34320	10913	3267	1526	11720	1342	1287	15006	19299	1077	17439
Cluster-33157.1	KAG8171596.1	1495	1591	34320	10913	3267	1526	11720	1342	1287	15006	19299	1077	17439
Cluster-33157.2	KAG8171596.1	1832	1896	25615	7224	2913	1531	7319	1400	1185	10060	12747	1234	11515
Cluster-33157.3	KAH9529734.1	1880	1764	38126	10258	2855	1506	10600	1378	1262	14736	19692	1224	17275
Cluster-33157.3	KAG8171596.1	1880	1764	38126	10258	2855	1506	10600	1378	1262	14736	19692	1224	17275
Cluster-33157.4	KAG8171596.1	202	203	1875	620	469	233	676	116	152	809	527	210	614
Cluster-33157.5	KAH9529734.1	22	24	2881	752	100	54	819	7	19	1232	1174	104	1291
Cluster-33157.5	KAF6197436.1	22	24	2881	752	100	54	819	7	19	1232	1174	104	1291
Cluster-33157.6	KAH9529734.1	35	45	7864	2121	98	53	2318	20	19	3105	4386	81	4140
Cluster-33168.0	XP_018007430.1	62239	75765	80429	47372	44018	36795	42527	55429	86767	92658	50658	46129	48826
Cluster-33173.0	KAF2352271.1	323	489	299	499	479	474	587	283	376	364	411	353	520
Cluster-33173.0	KAA0203555.1	323	489	299	499	479	474	587	283	376	364	411	353	520
Cluster-33173.1	CAH1978320.1	180	264	171	311	313	283	331	194	210	156	239	175	259
Cluster-33173.1	CAD6233807.1	180	264	171	311	313	283	331	194	210	156	239	175	259
Cluster-33178.0	KAF2344732.1	5	5	6	1	8	5	6	1	8	14	6	9	5
Cluster-33178.1	XP_047736815.1	46	71	60	79	96	91	124	62	90	58	113	62	131
Cluster-33191.0	XP_015795613.1	6	1	9	1	11	4	0	3	4	4	6	3	2
Cluster-33204.0	XP_027200443.1	17	69	1	112	4	4	25	5	4	11	10	11	10
Cluster-33206.2	XP_045101653.1	87	111	76	108	86	30	98	81	59	80	101	102	117
Cluster-33206.4	XP_045101653.1	92	59	95	67	76	63	79	72	124	108	86	78	80
Cluster-33206.5	XP_045101653.1	195	230	230	285	208	317	196	270	237	217	278	317	303
Cluster-33207.0	KAF2364405.1	61	108	67	111	88	96	79	76	93	65	98	96	90
Cluster-33209.0	XP_055388781.1	1	9	0	15	5	3	2	0	1	0	0	0	1
Cluster-33209.1	XP_055388781.1	2	18	0	14	1	4	0	4	1	0	1	2	0
Cluster-33211.0	KAF2359237.1	4	5	0	4	4	4	2	5	5	0	4	4	10
Cluster-33216.0	KAB0804158.1	9	10	7	2	14	4	15	10	11	2	10	7	7
Cluster-33218.0	KAF2355311.1	1	2	0	0	2	0	2	2	3	2	3	3	7
Cluster-33218.1	KAF2355311.1	0	1	3	1	0	0	0	1	2	0	3	0	2
Cluster-33223.0	XP_043205389.1	3	8	6	1	0	3	5	4	12	2	12	3	11
Cluster-33228.0	KAF2363346.1	53	52	51	82	67	37	147	39	62	113	53	22	45
Cluster-33228.1	KAF2363346.1	100	86	75	112	100	59	145	72	59	58	66	22	54
Cluster-33234.0	KAF2345873.1	1035	1611	845	1901	1813	2108	1784	1243	1446	1451	1252	1452	1704
Cluster-33235.9	CAI5850215.1	98	127	83	78	92	113	51	76	119	68	180	292	182
Cluster-33235.14	XP_018014569.1	47	69	132	70	102	115	70	81	85	80	119	51	53
Cluster-33235.18	XP_018014569.1	452	429	363	502	566	669	773	370	530	532	643	343	278
Cluster-33235.18	XP_046641603.1	452	429	363	502	566	669	773	370	530	532	643	343	278
Cluster-33235.22	XP_018020821.1	30	62	20	50	13	45	12	31	27	28	59	30	73
Cluster-33235.24	XP_018020821.1	57	89	83	130	40	81	44	96	88	55	126	70	98
Cluster-33235.26	XP_027222935.1	300	661	402	614	378	391	340	451	286	242	404	390	327
Cluster-33243.0	GFQ79184.1	2	12	2	34	8	0	7	4	0	3	1	3	2
Cluster-33247.0	XP_029846378.2	3692	4301	5046	6008	4793	5600	6264	3510	4726	4917	3873	5253	4466
Cluster-33250.0	XP_018017769.1	141	206	146	207	151	143	110	93	95	145	139	173	113
Cluster-33250.1	XP_018017758.1	212	228	199	192	154	123	145	207	153	138	159	202	218
Cluster-33254.0	KAF2347149.1	30	28	21	23	56	30	33	56	18	39	37	51	43
Cluster-33277.0	XP_046917405.1	8	18	0	35	2	7	2	1	1	0	2	3	2
Cluster-33278.0	GBO42504.1	50	91	98	50	84	57	126	52	44	25	54	30	69
Cluster-33285.0	XP_055944093.1	6	2	7	6	14	16	0	2	10	0	25	73	20
Cluster-33285.0	AAQ77180.1	6	2	7	6	14	16	0	2	10	0	25	73	20
Cluster-33287.0	KAF2363957.1	248	416	153	463	215	436	154	210	143	88	643	423	326
Cluster-33292.11	XP_018012274.1	485	1309	381	1476	1351	1726	2140	480	644	636	1609	1112	1755
Cluster-33293.0	XP_018012562.1	1	9	0	0	0	10	0	0	0	0	11	2	0
Cluster-33296.1	KAF2349523.1	12	9	15	4	5	11	4	23	16	14	20	12	30
Cluster-33297.3	XP_037804468.1	400	532	562	513	458	315	491	635	639	555	814	329	802
Cluster-33297.3	KAH9380234.1	400	532	562	513	458	315	491	635	639	555	814	329	802
Cluster-33298.17	KAF2364557.1	35	70	68	58	81	68	40	59	105	39	119	107	72
Cluster-33299.0	KAJ9596152.1	3	3	4	0	4	4	8	6	14	16	4	7	0
Cluster-33306.0	XP_046440522.1	9	6	14	14	20	38	10	24	22	20	15	9	18
Cluster-33315.0	XP_023214199.1	1	0	1	0	1	2	0	1	7	3	3	0	2
Cluster-33319.0	KAF7280825.1	3	0	0	0	3	7	0	1	0	4	1	2	1
Cluster-33325.0	XP_018023961.1	22	19	45	3	20	0	14	42	40	63	20	19	44
Cluster-33330.0	XP_037775210.1	3	1	0	2	3	0	0	2	1	4	0	0	5
Cluster-33330.10	XP_018017314.1	340	534	301	465	590	523	524	461	536	500	434	465	512
Cluster-33332.0	XP_023324773.1	3	5	0	8	1	0	0	0	0	0	0	0	0
Cluster-33332.1	XP_023324773.1	0	4	1	9	10	0	13	0	2	1	1	4	1
Cluster-33333.0	KAF2357233.1	134	178	120	255	178	143	200	164	155	161	188	190	194
Cluster-33333.3	KAF2357233.1	165	170	137	313	220	482	215	301	310	318	299	305	225
Cluster-33341.1	XP_018025894.1	74	37	39	11	30	5	4	142	82	57	84	25	186
Cluster-33341.2	XP_018025894.1	181	162	126	68	135	42	77	486	228	160	288	108	407
Cluster-33341.4	XP_018025894.1	194	206	107	93	128	62	117	444	295	211	259	111	529
Cluster-33347.1	XP_018010334.1	243	233	288	207	289	381	274	283	469	382	344	378	269
Cluster-33347.1	KAF2358004.1	243	233	288	207	289	381	274	283	469	382	344	378	269
Cluster-33347.2	XP_018010334.1	196	201	276	183	399	303	445	244	249	168	264	253	225
Cluster-33347.2	KAF2358004.1	196	201	276	183	399	303	445	244	249	168	264	253	225
Cluster-33347.5	PNF42809.1	3	10	14	6	4	2	4	4	5	5	5	3	15
Cluster-33350.1	XP_037792653.1	0	0	0	2	0	0	0	1	2	2	0	2	0
Cluster-33354.0	CAD7251836.1	12	6	12	10	46	45	17	27	33	10	29	26	8
Cluster-33356.0	ROT77311.1	1	7	11	13	3	3	8	8	7	7	6	6	3
Cluster-33357.0	CAD7230413.1	63	37	77	58	89	97	72	72	90	63	34	60	27
Cluster-33358.0	XP_037776428.1	236	821	415	674	480	468	1241	433	445	383	2003	1328	843
Cluster-33358.2	XP_037776428.1	304	1013	407	858	570	526	1062	432	494	455	1813	1585	1373
Cluster-33358.3	XP_037776428.1	188	999	1351	1716	767	473	1027	993	612	868	1592	836	1049
Cluster-33358.4	XP_037776428.1	581	1075	185	290	251	504	158	195	683	723	2421	2713	2654
